Rank,Strategy_Index,Strategy_Name,Algorithm,Weight
1,2983,SENATM1DTE 1108-1205 SL63%TP2X63%,simulated_annealing,0.02857142857142857
2,3891,SENSEX 1238-1408 SL18%TP45%,simulated_annealing,0.02857142857142857
3,3934,SHORTSTRADDLE ATM 1356-1456 SL56%,simulated_annealing,0.02857142857142857
4,4069,SENSEX 1422-1527 SL54%TP81%,simulated_annealing,0.02857142857142857
5,10686,SENSEX 1008-1205 SL18%TP54%,simulated_annealing,0.02857142857142857
6,7218,SENSEX 1228-1408 SL36%TP18%,simulated_annealing,0.02857142857142857
7,3166,SENSEX 956-1057 SL18%TP72%,simulated_annealing,0.02857142857142857
8,8148,SENSEX 1228-1408 SL27%TP18%,simulated_annealing,0.02857142857142857
9,9393,SENSEX 1512-1527 SL90%TP27%,simulated_annealing,0.02857142857142857
10,7977,SENSEX 1308-1408 SL27%TP45%,simulated_annealing,0.02857142857142857
11,1979,SHORTSTRADDLE ATM 1348-1408 SL14%TP14%,simulated_annealing,0.02857142857142857
12,7858,SENSEX 1117-1216 SL9%TP81%,simulated_annealing,0.02857142857142857
13,4323,SHORTSTRADDLE ATM 1248-1408 SL21%,simulated_annealing,0.02857142857142857
14,3046,SENSEX 1037-1136 SL54%TP90%,simulated_annealing,0.02857142857142857
15,4337,SENSEX 938-1205 SL54%TP45%,simulated_annealing,0.02857142857142857
16,10484,SENATM1DTE 1048-1205 SL2X49%TP49%,simulated_annealing,0.02857142857142857
17,519,SHORTSTRADDLE ATM 928-1205 SL56%TP56%,simulated_annealing,0.02857142857142857
18,5680,SENSEX 1348-1408 SL9%TP63%,simulated_annealing,0.02857142857142857
19,8385,SENSEX 1426-1525 SL27%TP90%,simulated_annealing,0.02857142857142857
20,378,SENSEX 917-1017 SL81%TP63%,simulated_annealing,0.02857142857142857
21,6638,SENSEX 946-1046 SL36%TP45%,simulated_annealing,0.02857142857142857
22,1456,SHORTSTRADDLE ATM 1158-1205 SL98%TP98%,simulated_annealing,0.02857142857142857
23,6029,SENSEX 1208-1408 SL90%TP72%,simulated_annealing,0.02857142857142857
24,7523,SENSEX 1432-1527 SL72%TP54%,simulated_annealing,0.02857142857142857
25,8632,SENSEX 1008-1205 SL27%TP45%,simulated_annealing,0.02857142857142857
26,4515,SENSEX 1452-1527 SL54%TP45%,simulated_annealing,0.02857142857142857
27,10090,SENATM1DTE 1148-1205 SL2X35%TP35%,simulated_annealing,0.02857142857142857
28,6169,SENSEX 1422-1527 SL45%TP45%,simulated_annealing,0.02857142857142857
29,7096,SENSEX 1442-1527 SL36%TP54%,simulated_annealing,0.02857142857142857
30,8830,SENSEX 958-1205 SL63%TP36%,simulated_annealing,0.02857142857142857
31,2957,SENATM1DTE 1107-1206 SL56%TP2X56%,simulated_annealing,0.02857142857142857
32,5940,SENSEX 1416-1516 SL9%TP27%,simulated_annealing,0.02857142857142857
33,5887,SENSEX 1358-1408 SL9%TP45%,simulated_annealing,0.02857142857142857
34,9453,SENATM1DTE 1016-1117 SL2X28%TP28%,simulated_annealing,0.02857142857142857
35,8839,SENATM1DTE 958-1205 SL2X42%TP42%,simulated_annealing,0.02857142857142857
