Rank,Strategy_Index,Strategy_Name,Algorithm,Weight
1,24932,SENSEX 1256-1326 SL58%TP52%,hill_climbing,0.02857142857142857
2,16980,SENSEX 1426-1456 SL43%TP22%,hill_climbing,0.02857142857142857
3,2415,SENSEX 1012-1212 SL147%,hill_climbing,0.02857142857142857
4,5459,SENSEX 920-1020 SL59%,hill_climbing,0.02857142857142857
5,7228,SENSEX 1102-1302 SL19%,hill_climbing,0.02857142857142857
6,9837,SENSEX 1004-1304 SL21%,hill_climbing,0.02857142857142857
7,22255,SENSEX 1410-1510 SL63%TP47%,hill_climbing,0.02857142857142857
8,10995,SENSEX 944-1244 SL78%TP37%,hill_climbing,0.02857142857142857
9,24651,SENSEX 1022-1222 SL58%TP62%,hill_climbing,0.02857142857142857
10,14540,SENSEX 1340-1440 SL33%TP62%,hill_climbing,0.02857142857142857
11,15558,SENSEX 937-1337 SL28%TP57%,hill_climbing,0.02857142857142857
12,7135,SENSEX 1022-1222 SL101%,hill_climbing,0.02857142857142857
13,6805,SENSEX 1050-1150 SL27%,hill_climbing,0.02857142857142857
14,1950,SENSEX 1030-1130 SL149%,hill_climbing,0.02857142857142857
15,15243,SENSEX 1416-1446 SL53%TP62%,hill_climbing,0.02857142857142857
16,13697,SENSEX 920-1020 SL33%TP42%,hill_climbing,0.02857142857142857
17,11656,SENSEX 1044-1344 SL113%,hill_climbing,0.02857142857142857
18,23790,SENSEX 947-1347 SL58%TP27%,hill_climbing,0.02857142857142857
19,5269,SENSEX 1306-1336 SL65%,hill_climbing,0.02857142857142857
20,711,SENSEX 1214-1514 SL45%,hill_climbing,0.02857142857142857
21,9258,SENSEX 1112-1312 SL29%,hill_climbing,0.02857142857142857
22,7243,SENSEX 1232-1432 SL19%,hill_climbing,0.02857142857142857
23,2654,SENSEX 934-1234 SL41%,hill_climbing,0.02857142857142857
24,8570,SENSEX 1014-1314 SL17%,hill_climbing,0.02857142857142857
25,8312,SENSEX 942-1142 SL88%TP22%,hill_climbing,0.02857142857142857
26,12598,SENSEX 917-1317 SL78%TP52%,hill_climbing,0.02857142857142857
27,10587,SENSEX 927-1327 SL127%,hill_climbing,0.02857142857142857
28,13079,SENSEX 1024-1324 SL123%,hill_climbing,0.02857142857142857
29,17616,SENSEX 1446-1516 SL43%TP67%,hill_climbing,0.02857142857142857
30,8924,SENSEX 1456-1525 SL25%,hill_climbing,0.02857142857142857
31,8333,SENSEX 917-1317 SL11%,hill_climbing,0.02857142857142857
32,15980,SENSEX 1240-1340 SL53%TP42%,hill_climbing,0.02857142857142857
33,25134,SENSEX 1007-1407 SL7%,hill_climbing,0.02857142857142857
34,20908,SENSEX 1014-1314 SL18%TP62%,hill_climbing,0.02857142857142857
35,18404,SENSEX 1312-1512 SL38%TP32%,hill_climbing,0.02857142857142857
