Rank,Strategy_Index,Strategy_Name,Algorithm,Weight
1,9147,SENSEX 1107-1206 SL27%TP9%,simulated_annealing,0.02857142857142857
2,10232,SENSEX 926-1026 SL27%TP63%,simulated_annealing,0.02857142857142857
3,1928,SHORTSTRADDLE ATM 1057-1156 SL91%TP91%,simulated_annealing,0.02857142857142857
4,9771,SENSEX 1308-1408 SL45%TP72%,simulated_annealing,0.02857142857142857
5,4965,SHORTSTRADDLE ATM 917-1017 SL91%,simulated_annealing,0.02857142857142857
6,8309,SENATM1DTE 1226-1326 SL2X56%TP56%,simulated_annealing,0.02857142857142857
7,6813,SENSEX 1108-1205 SL36%TP72%,simulated_annealing,0.02857142857142857
8,8940,SENSEX 1117-1216 SL27%TP90%,simulated_annealing,0.02857142857142857
9,4616,SHORTSTRADDLE ATM 1308-1408 SL7%,simulated_annealing,0.02857142857142857
10,8992,SENATM1DTE 1412-1527 SL2X91%TP91%,simulated_annealing,0.02857142857142857
11,7328,SENSEX 1148-1205 SL9%TP45%,simulated_annealing,0.02857142857142857
12,5388,SENSEX 1502-1527 SL9%TP90%,simulated_annealing,0.02857142857142857
13,8865,SENSEX 948-1205 SL63%TP81%,simulated_annealing,0.02857142857142857
14,7461,SENSEX 1308-1408 SL9%TP27%,simulated_annealing,0.02857142857142857
15,3112,SENATM1DTE 1128-1205 SL7%TP2X7%,simulated_annealing,0.02857142857142857
16,6909,SENSEX 1346-1446 SL36%TP9%,simulated_annealing,0.02857142857142857
17,1017,SENSEX 1218-1408 SL81%TP9%,simulated_annealing,0.02857142857142857
18,10503,SENSEX 1047-1146 SL45%TP18%,simulated_annealing,0.02857142857142857
19,4185,SHORTSTRADDLE ATM 1442-1524 SL35%,simulated_annealing,0.02857142857142857
20,1578,SENSEX 1256-1356 SL63%TP90%,simulated_annealing,0.02857142857142857
21,6149,SENSEX 1442-1527 SL45%TP72%,simulated_annealing,0.02857142857142857
22,7325,SENSEX 917-1017 SL72%TP90%,simulated_annealing,0.02857142857142857
23,2222,SHORTSTRADDLE ATM 1406-1506 SL35%TP35%,simulated_annealing,0.02857142857142857
24,6422,SENSEX 1037-1136 SL90%TP90%,simulated_annealing,0.02857142857142857
25,445,SENSEX 938-1205 SL81%TP9%,simulated_annealing,0.02857142857142857
26,1026,SHORTSTRADDLE ATM 1058-1205 SL42%,simulated_annealing,0.02857142857142857
27,4853,SENATM1DTE 1028-1205 SL98%TP2X98%,simulated_annealing,0.02857142857142857
28,1689,SHORTSTRADDLE ATM 1047-1146 SL70%TP70%,simulated_annealing,0.02857142857142857
29,9825,SENSEX 1256-1356 SL45%TP90%,simulated_annealing,0.02857142857142857
30,10519,SENSEX 1016-1117 SL18%TP36%,simulated_annealing,0.02857142857142857
31,3897,SENSEX 1238-1408 SL18%TP72%,simulated_annealing,0.02857142857142857
32,7538,SENSEX 1228-1408 SL9%TP81%,simulated_annealing,0.02857142857142857
33,2915,SENATM1DTE 1228-1408 SL35%TP2X35%,simulated_annealing,0.02857142857142857
34,10651,SENSEX 1057-1156 SL18%TP81%,simulated_annealing,0.02857142857142857
35,7224,SENSEX 1426-1525 SL36%TP45%,simulated_annealing,0.02857142857142857
