Rank,Strategy_Index,Strategy_Name,Algorithm,Weight
1,8809,SENSEX 944-1244 SL31%,hill_climbing,0.02857142857142857
2,20996,SENSEX 1410-1510 SL18%TP57%,hill_climbing,0.02857142857142857
3,1928,SENSEX 942-1142 SL73%TP52%,hill_climbing,0.02857142857142857
4,9773,SENSEX 1340-1440 SL13%,hill_climbing,0.02857142857142857
5,14778,SENSEX 1020-1120 SL28%TP67%,hill_climbing,0.02857142857142857
6,16531,SENSEX 1242-1442 SL43%TP32%,hill_climbing,0.02857142857142857
7,19723,SENSEX 1206-1236 SL18%TP52%,hill_climbing,0.02857142857142857
8,24496,SENSEX 944-1244 SL23%TP22%,hill_climbing,0.02857142857142857
9,12920,SENSEX 1024-1324 SL83%TP22%,hill_climbing,0.02857142857142857
10,5382,SENSEX 1052-1252 SL55%,hill_climbing,0.02857142857142857
11,6581,SENSEX 1146-1216 SL9%,hill_climbing,0.02857142857142857
12,4293,SENSEX 922-1122 SL85%,hill_climbing,0.02857142857142857
13,6467,SENSEX 1420-1520 SL67%,hill_climbing,0.02857142857142857
14,8951,SENSEX 1322-1522 SL25%,hill_climbing,0.02857142857142857
15,1412,SENSEX 946-1016 SL49%,hill_climbing,0.02857142857142857
16,4430,SENSEX 1456-1525 SL89%,hill_climbing,0.02857142857142857
17,8939,SENSEX 926-956 SL25%,hill_climbing,0.02857142857142857
18,8942,SENSEX 922-1122 SL25%,hill_climbing,0.02857142857142857
19,15582,SENSEX 1446-1516 SL28%TP57%,hill_climbing,0.02857142857142857
20,13075,SENSEX 942-1142 SL119%,hill_climbing,0.02857142857142857
21,8769,SENSEX 1330-1430 SL31%,hill_climbing,0.02857142857142857
22,25163,SENSEX 1117-1517 SL31%,hill_climbing,0.02857142857142857
23,2782,SENSEX 1420-1520 SL37%,hill_climbing,0.02857142857142857
24,22233,SENSEX 1410-1510 SL18%TP22%,hill_climbing,0.02857142857142857
25,23756,SENSEX 1252-1452 SL28%TP32%,hill_climbing,0.02857142857142857
26,5801,SENSEX 1220-1320 SL73%,hill_climbing,0.02857142857142857
27,13779,SENSEX 942-1142 SL33%TP47%,hill_climbing,0.02857142857142857
28,7288,SENSEX 917-1317 SL101%,hill_climbing,0.02857142857142857
29,8726,SENSEX 1056-1126 SL88%TP32%,hill_climbing,0.02857142857142857
30,244,SENSEX 1050-1150 SL49%,hill_climbing,0.02857142857142857
31,23833,SENSEX 920-1020 SL58%TP27%,hill_climbing,0.02857142857142857
32,25480,SENSEX 1116-1146 SL23%,hill_climbing,0.02857142857142857
33,24201,SENSEX 1250-1350 SL23%TP32%,hill_climbing,0.02857142857142857
34,6730,SENSEX 1016-1046 SL9%,hill_climbing,0.02857142857142857
35,8973,SENSEX 1330-1430 SL25%,hill_climbing,0.02857142857142857
