,ROI,Max Drawdown,Win Percentage,Profit Factor,Expectancy
Python_Multi_Consolidated_20250726_161921_SENSEX 1047-1447 SL47%,-9333.855719999887,25172.70212999996,0.573170731707317,0.9021201355515184,-113.8275087804866
Python_Multi_Consolidated_20250726_161921_SENSEX 1224-1524 SL73%TP42%,-29595.78999999989,40362.31863999993,0.47560975609756095,0.668860160167897,-360.92426829268175
Python_Multi_Consolidated_20250726_161921_SENSEX 1046-1116 SL47%,1821.9995200001079,7528.307629999974,0.6585365853658537,1.0904927208413517,22.21950634146475
Python_Multi_Consolidated_20250726_161921_SENSEX 1226-1256 SL73%TP42%,-9544.962849999887,10500.234499999911,0.5365853658536586,0.6034516619830368,-116.40198597560831
Python_Multi_Consolidated_20250726_161921_SENSEX 1044-1344 SL47%,-9938.531519999888,27799.485599999964,0.6219512195121951,0.8754909517704361,-121.20160390243757
Python_Multi_Consolidated_20250726_161921_SENSEX 1042-1242 SL47%,8762.138180000118,12340.391759999959,0.5975609756097561,1.1841022105553733,106.85534365853778
Python_Multi_Consolidated_20250726_161921_SENSEX 1230-1330 SL73%TP42%,-2397.6619199998936,12374.965349999977,0.6219512195121951,0.9271803710781676,-29.239779512193707
Python_Multi_Consolidated_20250726_161921_SENSEX 1040-1140 SL47%,2082.6167400001086,7892.102579999975,0.6097560975609756,1.0672352208937546,25.397765121952546
Python_Multi_Consolidated_20250726_161921_SENSEX 1232-1432 SL73%TP42%,-32579.256059999883,37537.36931999991,0.5,0.5660560652909992,-397.3080007317059
Python_Multi_Consolidated_20250726_161921_SENSEX 1037-1437 SL47%,-7473.176029999888,26360.206539999963,0.5975609756097561,0.9187963190090362,-91.13629304877941
Python_Multi_Consolidated_20250726_161921_SENSEX 1222-1422 SL73%TP42%,-26837.16949999991,33082.26830999992,0.5609756097560976,0.6242089474672585,-327.28255487804756
Python_Multi_Consolidated_20250726_161921_SENSEX 1052-1252 SL47%,42.13285000010478,17862.58510999997,0.573170731707317,1.0008127116377965,0.5138152439036503
Python_Multi_Consolidated_20250726_161921_SENSEX 1106-1136 SL47%,-10390.4896299999,13029.782879999915,0.5609756097560976,0.6206661257846898,-126.7132881707305
Python_Multi_Consolidated_20250726_161921_SENSEX 1104-1404 SL47%,-7362.0027499999,22966.734719999928,0.5487804878048781,0.9002180001539656,-89.78052134146196
Python_Multi_Consolidated_20250726_161921_SENSEX 1212-1412 SL73%TP42%,-22905.193469999904,30130.869879999926,0.524390243902439,0.6771636454583368,-279.3316276829257
Python_Multi_Consolidated_20250726_161921_SENSEX 1102-1302 SL47%,-4394.819609999891,18023.622159999948,0.573170731707317,0.9117690984417249,-53.5953610975597
Python_Multi_Consolidated_20250726_161921_SENSEX 1214-1514 SL73%TP42%,-34116.707999999875,41387.52897999988,0.5121951219512195,0.6110596540806812,-416.0574146341447
Python_Multi_Consolidated_20250726_161921_SENSEX 1100-1200 SL47%,2220.272640000111,9269.097149999974,0.5609756097560976,1.079370630921678,27.0764956097575
Python_Multi_Consolidated_20250726_161921_SENSEX 1057-1457 SL47%,2105.5767500001148,26654.32399999998,0.5853658536585366,1.0261426158509375,25.677765243903764
Python_Multi_Consolidated_20250726_161921_SENSEX 1216-1246 SL73%TP42%,-10823.832949999898,13156.523949999922,0.5365853658536586,0.5939204111377714,-131.99796280487672
Python_Multi_Consolidated_20250726_161921_SENSEX 1056-1126 SL47%,-3406.5184999998937,4811.548899999941,0.6463414634146342,0.8650302229724108,-41.54290853658404
Python_Multi_Consolidated_20250726_161921_SENSEX 1220-1320 SL73%TP42%,-5457.809489999901,10049.223439999932,0.573170731707317,0.8334976838418919,-66.55865231707196
Python_Multi_Consolidated_20250726_161921_SENSEX 1054-1354 SL47%,-13014.681429999886,22315.49947999997,0.524390243902439,0.8225863366046345,-158.71562719512053
Python_Multi_Consolidated_20250726_161921_SENSEX 1142-1342 SL47%,-15909.757309999908,25887.289729999975,0.5487804878048781,0.7616591256977996,-194.02143060975482
Python_Multi_Consolidated_20250726_161921_SENSEX 1142-1342 SL73%TP42%,-5643.595879999914,23988.886619999972,0.5487804878048781,0.9127505826399649,-68.82433999999864
Python_Multi_Consolidated_20250726_161921_SENSEX 1240-1340 SL47%,6129.991860000106,5977.436799999992,0.5975609756097561,1.237780297479075,74.75599829268413
Python_Multi_Consolidated_20250726_161921_SENSEX 1110-1210 SL73%TP42%,6797.035540000096,8155.395959999941,0.6463414634146342,1.2370442640522146,82.89067731707439
Python_Multi_Consolidated_20250726_161921_SENSEX 1236-1306 SL47%,-7653.709999999887,10165.325099999945,0.5365853658536586,0.6759389141353753,-93.33792682926682
Python_Multi_Consolidated_20250726_161921_SENSEX 1112-1312 SL73%TP42%,-12958.386979999885,32956.736589999906,0.573170731707317,0.8104839118870089,-158.02910951219383
Python_Multi_Consolidated_20250726_161921_SENSEX 1232-1432 SL47%,8828.004210000123,16411.769999999968,0.6219512195121951,1.2088698452027187,107.6585879268307
Python_Multi_Consolidated_20250726_161921_SENSEX 1230-1330 SL47%,-1202.8636499998954,7875.753649999968,0.6097560975609756,0.9620236335279477,-14.669068902437687
Python_Multi_Consolidated_20250726_161921_SENSEX 1114-1414 SL73%TP42%,-23071.089489999893,43295.6354599999,0.5,0.734941018234207,-281.35474987804764
Python_Multi_Consolidated_20250726_161921_SENSEX 1226-1256 SL47%,-5533.223949999896,7731.204149999978,0.5609756097560976,0.7335843479007086,-67.47834085365724
Python_Multi_Consolidated_20250726_161921_SENSEX 1116-1146 SL73%TP42%,-8966.940799999884,10768.005799999912,0.5,0.6282879704728325,-109.35293658536449
Python_Multi_Consolidated_20250726_161921_SENSEX 1224-1524 SL47%,22527.320960000092,10437.834429999974,0.6951219512195121,1.4672185820448647,274.72342634146446
Python_Multi_Consolidated_20250726_161921_SENSEX 1222-1422 SL47%,11653.428010000094,15129.850999999977,0.6341463414634146,1.2906968226887483,142.1149757317084
Python_Multi_Consolidated_20250726_161921_SENSEX 1242-1442 SL47%,15143.940690000118,13905.946799999983,0.6219512195121951,1.383363530126553,184.6822035365866
Python_Multi_Consolidated_20250726_161921_SENSEX 1107-1507 SL73%TP42%,-6233.4526999998925,37096.07777999992,0.5365853658536586,0.9284221427126634,-76.01771585365702
Python_Multi_Consolidated_20250726_161921_SENSEX 1306-1336 SL47%,-9554.913649999888,13582.414799999915,0.5609756097560976,0.6448006993656801,-116.52333719512055
Python_Multi_Consolidated_20250726_161921_SENSEX 1100-1200 SL73%TP42%,6109.353300000109,6501.912299999953,0.6341463414634146,1.2226198283415106,74.50430853658673
Python_Multi_Consolidated_20250726_161921_SENSEX 1302-1502 SL47%,-10425.372019999879,25921.54331999995,0.5365853658536586,0.8101891950511771,-127.13868317073013
Python_Multi_Consolidated_20250726_161921_SENSEX 1102-1302 SL73%TP42%,-13282.659719999881,29707.458049999907,0.5853658536585366,0.7945452613852403,-161.9836551219497
Python_Multi_Consolidated_20250726_161921_SENSEX 1300-1400 SL47%,-5814.337809999896,15293.564099999974,0.573170731707317,0.8446649109341126,-70.9065586585354
Python_Multi_Consolidated_20250726_161921_SENSEX 1256-1326 SL47%,-3007.3511299998986,6898.792129999911,0.5609756097560976,0.8695338149286086,-36.675013780486466
Python_Multi_Consolidated_20250726_161921_SENSEX 1104-1404 SL73%TP42%,-14658.326869999877,30927.3611499999,0.5,0.8118004640949206,-178.7600837804863
Python_Multi_Consolidated_20250726_161921_SENSEX 1252-1452 SL47%,5610.729930000099,16232.807129999977,0.5609756097560976,1.1158556457191489,68.42353573170851
Python_Multi_Consolidated_20250726_161921_SENSEX 1250-1350 SL47%,-7229.067189999888,10539.556759999909,0.5,0.8106313941618599,-88.15935597560838
Python_Multi_Consolidated_20250726_161921_SENSEX 1106-1136 SL73%TP42%,-5523.871599999911,7908.101949999929,0.5609756097560976,0.765854107559954,-67.36428780487694
Python_Multi_Consolidated_20250726_161921_SENSEX 1246-1316 SL47%,-5706.1921799998945,8218.926879999926,0.5121951219512195,0.7427914904036025,-69.58770951219381
Python_Multi_Consolidated_20250726_161921_SENSEX 1117-1517 SL73%TP42%,-25912.63584999989,60050.86297999992,0.47560975609756095,0.7527581973903518,-316.0077542682915
Python_Multi_Consolidated_20250726_161921_SENSEX 1220-1320 SL47%,-4959.279239999897,8411.907629999969,0.6097560975609756,0.8563851592296139,-60.47901512195
Python_Multi_Consolidated_20250726_161921_SENSEX 1200-1300 SL47%,-26262.3662099999,31366.035809999914,0.5975609756097561,0.507777516956688,-320.2727586585354
Python_Multi_Consolidated_20250726_161921_SENSEX 1132-1332 SL73%TP42%,1249.3896700001003,23384.75981999996,0.6341463414634146,1.0207602542366305,15.236459390245273
Python_Multi_Consolidated_20250726_161921_SENSEX 1156-1226 SL47%,-12565.9076999999,17577.488199999927,0.524390243902439,0.5836703525214711,-153.2427768292671
Python_Multi_Consolidated_20250726_161921_SENSEX 1134-1434 SL73%TP42%,-34262.418789999894,61078.242869999915,0.5,0.6478592799563192,-417.8343754878035
Python_Multi_Consolidated_20250726_161921_SENSEX 1154-1454 SL47%,7516.5416500001165,24354.144149999964,0.6585365853658537,1.1129342247674956,91.6651420731722
Python_Multi_Consolidated_20250726_161921_SENSEX 1152-1352 SL47%,-14716.867599999896,22913.122449999915,0.6097560975609756,0.7733669954854575,-179.47399512195
Python_Multi_Consolidated_20250726_161921_SENSEX 1136-1206 SL73%TP42%,-6353.862699999885,13486.943699999933,0.47560975609756095,0.7269263451533002,-77.48613048780342
Python_Multi_Consolidated_20250726_161921_SENSEX 1150-1250 SL47%,-14431.959589999895,20106.38463999992,0.6097560975609756,0.681420420145884,-175.99950719512077
Python_Multi_Consolidated_20250726_161921_SENSEX 1140-1240 SL73%TP42%,-16956.02206999988,26749.37019999989,0.6097560975609756,0.6589096324541756,-206.7807569512181
Python_Multi_Consolidated_20250726_161921_SENSEX 1146-1216 SL47%,-8136.235879999907,11859.497549999927,0.5365853658536586,0.7081572155247583,-99.22238878048665
Python_Multi_Consolidated_20250726_161921_SENSEX 1144-1444 SL47%,-6280.312969999888,21949.228759999984,0.6097560975609756,0.9143917515257789,-76.58918256097434
Python_Multi_Consolidated_20250726_161921_SENSEX 1202-1402 SL47%,-20563.728449999893,29607.005149999914,0.6097560975609756,0.6944674609972864,-250.77717621951092
Python_Multi_Consolidated_20250726_161921_SENSEX 1130-1230 SL73%TP42%,-8642.021319999896,22127.43451999993,0.5853658536585366,0.7976557287857452,-105.39050390243796
Python_Multi_Consolidated_20250726_161921_SENSEX 1120-1220 SL73%TP42%,-12953.005649999877,23104.653249999894,0.573170731707317,0.7145857749385346,-157.9634835365839
Python_Multi_Consolidated_20250726_161921_SENSEX 1216-1246 SL47%,-9265.168399999902,11422.23214999992,0.5365853658536586,0.630807969465042,-112.98985853658414
Python_Multi_Consolidated_20250726_161921_SENSEX 1214-1514 SL47%,13986.925560000105,21024.422699999974,0.6829268292682927,1.2590676988845082,170.57226292683072
Python_Multi_Consolidated_20250726_161921_SENSEX 1122-1322 SL73%TP42%,-5452.504229999876,27391.066709999912,0.6097560975609756,0.9069591314977279,-66.49395402438881
Python_Multi_Consolidated_20250726_161921_SENSEX 1212-1412 SL47%,-16087.61114999992,39517.20451999994,0.6097560975609756,0.7617333809168378,-196.1903798780478
Python_Multi_Consolidated_20250726_161921_SENSEX 1124-1424 SL73%TP42%,-23046.58356999988,49271.4914299999,0.5121951219512195,0.7389426096924905,-281.0558971951202
Python_Multi_Consolidated_20250726_161921_SENSEX 1210-1310 SL47%,-17847.078179999917,24398.783529999928,0.573170731707317,0.5866872251698056,-217.6472948780479
Python_Multi_Consolidated_20250726_161921_SENSEX 1206-1236 SL47%,-15639.4216799999,20734.26567999992,0.524390243902439,0.5425471097697079,-190.72465463414505
Python_Multi_Consolidated_20250726_161921_SENSEX 1126-1156 SL73%TP42%,-2789.792049999899,7542.237049999932,0.573170731707317,0.8583676850509153,-34.02185426829149
Python_Multi_Consolidated_20250726_161921_SENSEX 1204-1504 SL47%,5872.098420000102,31279.854379999975,0.6585365853658537,1.0905193159311355,71.61095634146454
Python_Multi_Consolidated_20250726_161921_SENSEX 1310-1410 SL47%,-4601.4199499999,14673.54800999997,0.5365853658536586,0.8708104990041378,-56.114877439023076
Python_Multi_Consolidated_20250726_161921_SENSEX 1036-1106 SL47%,-4808.42162999989,8950.530279999904,0.6341463414634146,0.8178692877219343,-58.63928817073037
Python_Multi_Consolidated_20250726_161921_SENSEX 1236-1306 SL73%TP42%,-1888.8591499998854,6827.989649999976,0.524390243902439,0.890555172703481,-23.03486768292538
Python_Multi_Consolidated_20250726_161921_SENSEX 1420-1520 SL73%TP42%,338.1861700000957,9064.25952999993,0.5365853658536586,1.0081849470446091,4.1242215853670245
Python_Multi_Consolidated_20250726_161921_SENSEX 916-946 SL45%,-10178.64139999987,16298.010099999894,0.5,0.7985560262739085,-124.12977317073
Python_Multi_Consolidated_20250726_161921_SENSEX 1426-1456 SL73%TP42%,-4324.361199999906,11154.360099999956,0.5365853658536586,0.8422697348077975,-52.736112195120825
Python_Multi_Consolidated_20250726_161921_SENSEX 916-920 SL45%,-17440.942249999873,18451.27824999988,0.3902439024390244,0.46079791800096326,-212.69441768292523
Python_Multi_Consolidated_20250726_161921_SENSEX 1456-1525 SL45%,3083.4480000001017,5580.022999999973,0.5,1.1408344064325762,37.603024390245196
Python_Multi_Consolidated_20250726_161921_SENSEX 1436-1506 SL73%TP42%,-5859.939239999905,11919.919439999943,0.5365853658536586,0.7828778871412072,-71.46267365853538
Python_Multi_Consolidated_20250726_161921_SENSEX 1446-1516 SL45%,10944.032750000091,4459.838249999961,0.5365853658536586,1.6445283036758174,133.46381402439144
Python_Multi_Consolidated_20250726_161921_SENSEX 1436-1506 SL45%,2327.4721500000987,6521.060099999955,0.5487804878048781,1.1150322290430983,28.383806707318314
Python_Multi_Consolidated_20250726_161921_SENSEX 1446-1516 SL73%TP42%,-4098.415299999905,9207.791649999974,0.5121951219512195,0.8692017820252416,-49.98067439024271
Python_Multi_Consolidated_20250726_161921_SENSEX 1426-1456 SL45%,1365.938750000093,7884.344499999957,0.5487804878048781,1.0662839719830948,16.657789634147434
Python_Multi_Consolidated_20250726_161921_SENSEX 1456-1525 SL73%TP42%,8548.093290000103,6994.896169999974,0.5121951219512195,1.3817359019272348,104.24504012195251
Python_Multi_Consolidated_20250726_161921_SENSEX 917-1317 SL45%,74205.70900000012,11969.998699999967,0.6707317073170732,2.057686404370943,904.947670731709
Python_Multi_Consolidated_20250726_161921_SENSEX 920-1020 SL45%,943.5743500001172,14156.862899999971,0.5487804878048781,1.0152770796572994,11.507004268294281
Python_Multi_Consolidated_20250726_161921_SENSEX 1356-1426 SL73%TP42%,-8051.479919999883,16389.196269999942,0.5,0.7151812925985123,-98.18877951219372
Python_Multi_Consolidated_20250726_161921_SENSEX 932-1132 SL45%,18817.588350000096,9637.864549999991,0.6097560975609756,1.395575514685371,229.48278475609868
Python_Multi_Consolidated_20250726_161921_SENSEX 930-1030 SL45%,-9979.777499999876,21729.507849999944,0.5365853658536586,0.8187898456172198,-121.70460365853523
Python_Multi_Consolidated_20250726_161921_SENSEX 1400-1500 SL73%TP42%,-5460.431919999895,20029.799319999947,0.5121951219512195,0.879921516014626,-66.59063317073031
Python_Multi_Consolidated_20250726_161921_SENSEX 927-1327 SL45%,65759.90140000012,9693.844749999997,0.7073170731707317,2.2972628540296895,801.9500170731717
Python_Multi_Consolidated_20250726_161921_SENSEX 1406-1436 SL73%TP42%,-5314.645219999907,16941.371519999953,0.47560975609756095,0.7996692397138288,-64.81274658536483
Python_Multi_Consolidated_20250726_161921_SENSEX 926-956 SL45%,8466.661150000115,7609.7589999999955,0.524390243902439,1.231649920001316,103.25196524390384
Python_Multi_Consolidated_20250726_161921_SENSEX 924-1224 SL45%,34506.298750000125,10827.048249999996,0.6341463414634146,1.5630767485713142,420.8085213414648
Python_Multi_Consolidated_20250726_161921_SENSEX 1410-1510 SL73%TP42%,-11863.483479999886,20892.88855999995,0.5121951219512195,0.7347031626417828,-144.67662780487666
Python_Multi_Consolidated_20250726_161921_SENSEX 922-1122 SL45%,36679.435450000106,9438.022249999998,0.6585365853658537,1.7260405863211623,447.3101884146354
